timestamp,symbol,clean_text,original_sentiment,nlp_label,nlp_score
2026-06-14 15:56 ET,AMGN,amgen is seeking to defend the future of tavneos after hiring the duke clinical research institute to conduct an independent reanalysis of the clinical trial data that supported the drugs approval. the move comes as the fda pushes to withdraw tavneos from the market over concern,None,bearish,0.5281
2026-06-15 16:40 ET,NTLA,.. intrest will grow here as folk digest the data signifigence and analysts assesments flow... lots to play for here... grwat news for gene therapy...,None,neutral,0.823
2026-06-15 16:40 ET,NTLA,poor me sold at 13.5,None,neutral,0.9153
2026-06-15 16:40 ET,NTLA,watching the consistent elevated volume.,Bullish,neutral,0.8557
2026-06-15 16:40 ET,NTLA,"with todays good news and potential rotation from semis to biotech, the uptrend is just getting started.",Bullish,bullish,0.8614
2026-06-15 16:40 ET,NTLA,this just keeps pushing without much effort,None,neutral,0.8595
2026-06-15 16:40 ET,NTLA,"seems like they want some really nasty squeeze here , 50 on friday ,",Bullish,neutral,0.5828
2026-06-15 16:40 ET,NTLA,i thought this was nutella and was a about to ape into this.,None,neutral,0.8175
2026-06-15 16:40 ET,NTLA,20 by morning,Bullish,neutral,0.9283
2026-06-15 16:40 ET,NTLA,some things going last 12 minutes crazy buying going on,Bullish,neutral,0.9047
2026-06-15 16:40 ET,NTLA,shorts burning away on this baby as they will on ! lets get this news of the buy out for 10.75 ! from 10cent to where it belongs ! 7500 .x coins like come on what more do you guys want bears in full panic mode,None,neutral,0.9311
2026-06-15 16:40 ET,HQ,lock up period for pipe investors is 24 months.. owns 13 and owns 8... described as microsoft of quantum world.. hold for gold..low float.. first target 30 to 40,Bullish,neutral,0.9339
2026-06-15 16:40 ET,HQ,majorrrr,Bullish,neutral,0.82
2026-06-15 16:40 ET,HQ,your day trading watch list for june 16th in 2 minutes con39t .,None,neutral,0.9106
2026-06-15 16:40 ET,HQ,smart money piling in.,Bullish,neutral,0.7107
2026-06-15 16:40 ET,HQ,,Bullish,neutral,0.0
2026-06-15 16:40 ET,HQ,this will have a massive crash soon,Bearish,mixed,0.4999
2026-06-15 16:40 ET,HQ,finally broke that 17.9 wall.,Bullish,neutral,0.7233
2026-06-15 16:40 ET,HQ,never knew pos can taste so good,Bullish,neutral,0.8423
2026-06-15 16:40 ET,HQ,wtf is this pos,None,neutral,0.9329
2026-06-15 16:40 ET,HQ,insiders are selling to free up some of their own cash to buy horizon quantum,Bullish,neutral,0.8927
2026-06-15 16:40 ET,WDC,"its 2030 - your portfolio is up 30x50x. why? because you loaded up on these 4 memory stocks and never sold. - micron technology target 5,000 by 2030 - sandisk target 4,000 by 2030 - western digital target 2,500 by 2030 -dram etf target",None,neutral,0.8326
2026-06-15 16:40 ET,WDC,"already got my initial investment profit out, just house money from here.",Bullish,neutral,0.8402
2026-06-15 16:40 ET,WDC,looks i was trading it back in 2013 too. lol seeing this makes me miss esignal.,Bullish,neutral,0.8209
2026-06-15 16:40 ET,WDC,the roundhill guys sure nailed timing of this etf launch with and korean leaders and,None,neutral,0.8028
2026-06-15 16:40 ET,WDC,omg. wow. is this in any of the big indices ?,None,neutral,0.9163
2026-06-15 16:40 ET,WDC,booming today,Bullish,neutral,0.7241
2026-06-15 16:40 ET,WDC,"own a boatload since last year about 5k shares!held them all along! bullish. also held my , and",None,neutral,0.8553
2026-06-15 16:40 ET,WDC,"breakout, up 15.0 on 7,349,602 volume. this is what my scanner flagged",None,neutral,0.6699
2026-06-15 16:40 ET,WDC,eod of day rug pull incoming,Bearish,neutral,0.6188
2026-06-15 16:40 ET,WDC,655 for power hour,Bullish,neutral,0.9236
2026-06-15 16:40 ET,OUST,"oust sensor used isl aurochs ii autonomous navigation in contested environments the aurochs ii, developed by the french-german research institute of saint-louis isl, pushes the boundaries of tactical ground robotics. its strength total operational flexibility. the",None,neutral,0.647
2026-06-15 16:40 ET,OUST,"everyone is talking about the future of physical ai, but fewer conversations focus on what it actually takes to bring that technology into the real world at scale. were proud to expand our partnership with ouster to support high-volume production of their rev8 digital l",None,bullish,0.8997
2026-06-15 16:40 ET,OUST,"interesting to see ousters bluecity traffic management solution being deployed at more than 40 locations around metlife stadium ahead of the 2026 fifa world cup with the new york new jersey stadium hosting eight matches, including the final, the scale of traffic and",None,neutral,0.88
2026-06-15 16:40 ET,OUST,"it was an absolute pleasure welcoming this brilliant group from necstlab at ouster! we had a fantastic, high-energy discussion about the future of sensing technologies and what it takes to drive real corporate innovation. its always inspiring to engage with next-generatio",None,neutral,0.681
2026-06-15 16:40 ET,OUST,"its america recap, what a great show the community will always be great. the response to rgb lidar exceeded our initial thoughts! new friends made, old ones solidified. thanks for everyone who stopped by the booth, making history thankful to be a part of the movement. http",None,bullish,0.8301
2026-06-15 16:40 ET,OUST,"oust sensor used tihaniit hyderabad signs mou with elonroad at bharat innovates 2026 as part of bharat innovates 2026 in nice, france, tihan-iit hyderabad and elonroad formalized a partnership through the signing of a memorandum of understanding mou.",None,bullish,0.8865
2026-06-15 16:40 ET,OUST,"if we get more volume , this thing can go eeven more crazy stv",None,neutral,0.5749
2026-06-15 16:40 ET,OUST,these are shaping up to be some of my cleanest long-term entries this year gt 92 gt 22 gt 86 gt 67 nothing magical about the levels themselves-its more about catching them when sentiment was still uncertain and positioning was light.,None,neutral,0.8993
2026-06-15 16:40 ET,OUST,dropping beats.,Bullish,neutral,0.5293
2026-06-15 16:40 ET,OUST,bought,None,neutral,0.8704
2026-06-15 16:40 ET,BTQ,why the huge dip after hours???,None,bearish,0.572
2026-06-15 16:40 ET,BTQ,dip,None,neutral,0.0
2026-06-15 16:40 ET,BTQ,looking good,None,neutral,0.8442
2026-06-15 16:40 ET,BTQ,"closed above 200 day 1st time since 12026. good sign, will be watching to see if any continuation. still, if the market or crypto tanks tomorrow will probably give a lot back.. charts are always better at showing where something has been than where it is going! gl",None,neutral,0.8909
2026-06-15 16:40 ET,BTQ,your day trading watch list for june 16th in 2 minutes .,None,neutral,0.9181
2026-06-15 16:40 ET,BTQ,"it caught too much attention so the shorts moved in, that39s ok.",Bullish,neutral,0.6581
2026-06-15 16:40 ET,BTQ,not much selling at all thats interesting,None,neutral,0.8871
2026-06-15 16:40 ET,BTQ,even if it doesn39t shoot up into close today we broke thr moving averages so it39s awake for the algorithms.,Bullish,bullish,0.8482
2026-06-15 16:40 ET,BTQ,"feeling this has enough too go bang, its has enough and will run wild",None,neutral,0.6951
2026-06-15 16:40 ET,BTQ,showing a bullish macd cross on the daily. squeeze is building. we love our supernovas with parabolic potential.,Bullish,neutral,0.5147
2026-06-15 16:40 ET,SATS,meli spanish amazon of bout 10 years ago,None,neutral,0.8918
2026-06-15 16:40 ET,SATS,"back to back 20 per cent gains. nav up over 8 billion on it today alone. what more can you ask for, service with a smile?",Bullish,neutral,0.7143
2026-06-15 16:40 ET,SATS,why isnt this trading over 200share right now?,None,neutral,0.9232
2026-06-15 16:40 ET,SATS,,None,neutral,0.0
2026-06-15 16:40 ET,SATS,nets lockin up crap,None,neutral,0.774
2026-06-15 16:40 ET,SATS,i know try to grab more from dark pools but at gt 11m already borrowed short on dark pools maybe not much more to borrow there?,Bullish,neutral,0.8929
2026-06-15 16:40 ET,SATS,"running into a strong close amp gt 52m shares short in have themselves in a bind as continue to drawdown what little available shares left to hang onto bearish bets now, only 80k available shares what do they do when goes to zero?",Bullish,bearish,0.7879
2026-06-15 16:40 ET,SATS,"biggest holding here is spcx, not going up as its supposed to be, coiled sprint loading. people will miss it.",Bullish,neutral,0.7887
2026-06-15 16:40 ET,SATS,i see 130 plus,None,neutral,0.8715
2026-06-15 16:40 ET,SATS,are u kiddin mec70 ta 75 mil in 2 days seriously are they eatin em like potatoe chis. freakin insane ast week it would have been minimum 150. explain please. pu all your shares at 180 for sale dont let the shorts get em dam!!!!,None,neutral,0.8513
2026-06-15 16:40 ET,RVI,had to close my covered calls at a loss,None,bearish,0.6469
2026-06-15 16:40 ET,RVI,dx and rv are the sleepers in the new momentum here,None,neutral,0.8419
2026-06-15 16:40 ET,RVI,lol wild price action to end the day,Bullish,neutral,0.8889
2026-06-15 16:40 ET,RVI,incredible! congrats everyone ! i openly admit i made huge mistake and sold this for dxyz because of spacex and now im regretting it big time!,None,bearish,0.7076
2026-06-15 16:40 ET,RVI,,Bullish,neutral,0.0
2026-06-15 16:40 ET,RVI,come to daddy,Bullish,neutral,0.8618
2026-06-15 16:40 ET,RVI,,Bullish,neutral,0.0
2026-06-15 16:40 ET,RVI,nice,None,neutral,0.0
2026-06-15 16:40 ET,RVI,and to think i took a loss on this to but dxyz to take a monster paper loss because of spacex only for this to now own spacex and be flying! total madness!,None,neutral,0.8572
2026-06-15 16:40 ET,RVI,since rh was an underwriter it looks like they got their at the open on 612 ... so i39m guessing their basis is 135!,Bullish,neutral,0.9206
2026-06-16 16:37 ET,KRMN,trending because this is literally the cheapest aerospacemissilerocket play out there with over 3b backlog,Bullish,neutral,0.5453
2026-06-16 16:37 ET,KRMN,asf,None,neutral,0.0
2026-06-16 16:37 ET,KRMN,,None,neutral,0.0
2026-06-16 16:37 ET,KRMN,dont worry there cant be enough news to get us back to our shit of an entry!. thanks for another failure among your many lmfao. the court jester.,None,bearish,0.6952
2026-06-16 16:37 ET,KRMN,bro this thing might just fucking gamma squeeze,Bullish,neutral,0.4933
2026-06-16 16:37 ET,KRMN,"i should bloody think so. this has been treated appallingly. no respect whatsoever. up, up, up now...",Bullish,bearish,0.5469
2026-06-16 16:37 ET,KRMN,50dma is 67 lets gooooo,Bullish,neutral,0.9253
2026-06-16 16:37 ET,KRMN,"avg 61 but its a little monster will all the facilites needed to build, metals, emgines, software and hardware ..space and defense bright future here",None,neutral,0.8053
2026-06-16 16:37 ET,KRMN,news?,None,neutral,0.0
2026-06-16 16:37 ET,KRMN,"breaking out hard, up 7.3 and clearing prior close with 2.6m shares through already. these vertical sessions either have legs into the close or they stall the moment buyers thin out. watching 51.50 hold as the line. this is what my scanner flagged",None,neutral,0.8444
2026-06-16 16:37 ET,LION,,None,neutral,0.0
2026-06-16 16:37 ET,LION,"nflx nvm mind, lionsgate recovered almost all the drop, maybe someone fat fingered",None,neutral,0.8451
2026-06-16 16:37 ET,LION,hey cubie please show us that you have ever had a position. you just jump from trending stock and brag about follower. come on does anyone care about followers on stocktwits. you loser!,None,neutral,0.8965
2026-06-16 16:37 ET,LION,wth,None,neutral,0.0
2026-06-16 16:37 ET,LION,did nflx just deny it bc lionsgates dropped -2,None,mixed,0.5142
2026-06-16 16:37 ET,LION,that39s what i was waiting for... hehehe. thanks... im out,None,neutral,0.8734
2026-06-16 16:37 ET,LION,,None,neutral,0.0
2026-06-16 16:37 ET,LION,here are the final 2 stocks in your day trading watch list for june 17th in 2 minutes .,None,neutral,0.8984
2026-06-16 16:37 ET,LION,added about 75 watchers,None,neutral,0.9265
2026-06-16 16:37 ET,LION,hour stock can 10x from here - most undervalued penny stock in the market - 1.8m float with zero dilution - did 143m in revenue last year with around 2m in net profit doing the best numbers since they went public - insiders have never sold even when this hit 7 an,None,neutral,0.7628
2026-06-16 16:37 ET,MGNI,,Bullish,neutral,0.0
2026-06-16 16:37 ET,MGNI,"currently at resistance. break through, and she could run to 21.",None,neutral,0.7123
2026-06-16 16:37 ET,MGNI,"unclear why the surge today- anyone haveseen any news? whatever the reasons, a superb day for all the longs- congrats! still lots of shorts in this roughly 9 of the float. if we can keep the momentum going we may see some extra lift in sp from covering.",None,bullish,0.9113
2026-06-16 16:37 ET,MGNI,"over 6 million shares traded, closed at high of day, and heavy bullish option flow. nice day all. about time",None,neutral,0.732
2026-06-16 16:37 ET,MGNI,"the last time barrett dumped a load of his shares, price ran away from him significantly. let39s repeat that. but let39s not repeat the other thing that eventually happened, when price collapsed way under his sell point.",Bullish,mixed,0.532
2026-06-16 16:37 ET,MGNI,below 18 tm,Bearish,neutral,0.8394
2026-06-16 16:37 ET,MGNI,the worm has turned,None,neutral,0.7001
2026-06-16 16:37 ET,MGNI,now within 2 of shitdesk as it spikes into the close and shitdesk collapses yet again.,None,mixed,0.4448
2026-06-16 16:37 ET,MGNI,hour stock can 10x from here - most undervalued penny stock in the market - 1.8m float with zero dilution - did 143m in revenue last year with around 2m in net profit doing the best numbers since they went public - insiders have never sold even when this hit 7 an,None,neutral,0.0
2026-06-16 16:37 ET,MGNI,surging 10 - anyone buying here?,None,neutral,0.8627
2026-06-16 16:37 ET,RXT,"on option strat, someones loading hella 5 puts but why!!!!! i pray we just break out man! i mean they hit the lq sweep at the bell",Bullish,neutral,0.6792
2026-06-16 16:37 ET,RXT,tomorrow going to be like a hurricane clearing out shorty...huge day!,Bullish,neutral,0.7014
2026-06-16 16:37 ET,RXT,premarket tmrw they39ll grab everything available. hold tight. gl long,Bullish,neutral,0.8874
2026-06-16 16:37 ET,RXT,swingingitintotomorrowland,Bullish,neutral,0.9355
2026-06-16 16:37 ET,RXT,offering tonight,None,neutral,0.8832
2026-06-16 16:37 ET,RXT,"decent day altogether, up 5 on good news and a red day for nasdaq. i39ll take that.",None,bullish,0.9067
2026-06-16 16:37 ET,RXT,today all semiconductors down and amd -7.30. let39s see tomorrow how it goes,None,neutral,0.7048
2026-06-16 16:37 ET,RXT,gping red?,None,neutral,0.8235
2026-06-16 16:37 ET,RXT,i warned you they take it down on open,None,neutral,0.768
2026-06-16 16:37 ET,RXT,new contract with amd,None,neutral,0.8112
2026-06-16 16:37 ET,WDC,,Bullish,neutral,0.0
2026-06-16 16:37 ET,WDC,bubble,Bearish,neutral,0.8598
2026-06-16 16:37 ET,WDC,leader,Bullish,neutral,0.892
2026-06-16 16:37 ET,WDC,"is ridiculous! current resistance sits at 655, but the hype around this stock could have us see 700! the senseful thing would be a pullback to 600 ...",None,bearish,0.7266
2026-06-16 16:37 ET,WDC,"storage is still one of the cleanest momentum re-rating trades in the market right now, especially with earnings catalysts ahead. - pushing ath momentum, re-rating on supply discipline pricing power - strong trend continuation, institutional accumulation still v",None,bullish,0.9181
2026-06-16 16:37 ET,WDC,"western digital, seagate technology, and sandisk are all continuing to push into fresh all-time highs as momentum stays strong across the storage space heading into next weeks micron technology earnings. whats even more notable is the strength still hasnt faded theres a clea",None,bullish,0.7435
2026-06-16 16:37 ET,WDC,,None,neutral,0.0
2026-06-16 16:37 ET,WDC,congrats all. winners in all four,None,neutral,0.8202
2026-06-16 16:37 ET,WDC,insane!,Bullish,mixed,0.5211
2026-06-16 16:37 ET,WDC,pressing the 75-day high with momentum. entry has already gained ground and the next target zone is the 650 area. this one still has room to run.,Bullish,mixed,0.5257
2026-06-16 16:37 ET,WYFI,21.43,None,neutral,0.0
2026-06-16 16:37 ET,WYFI,didnt have this on the bingo card today,None,neutral,0.9192
2026-06-16 16:37 ET,WYFI,truth reveals it self here again,None,neutral,0.8778
2026-06-16 16:37 ET,WYFI,this is going to let a lot of people down in the very short term. 1.16 bil market cap with less than 100 mil revenue and losing money. in the next couple years maybe good but for now your overpaying. i know fundamentals don39t matter anymore to short term holders but wo,None,bearish,0.9536
2026-06-16 16:37 ET,WYFI,"i should have clarified that the facilities they retro fit are buildings that housed now closed manufacturing, or a company that moved or left for some reason. your ai misread my meaning when i said facilities already built. thinking they were tier 3 facilitie",None,neutral,0.6108
2026-06-16 16:37 ET,WYFI,,None,neutral,0.0
2026-06-16 16:37 ET,WYFI,lolol no,None,neutral,0.9281
2026-06-16 16:37 ET,WYFI,bro this thing might just fucking gamma squeeze,Bullish,neutral,0.0
2026-06-16 16:37 ET,WYFI,,Bullish,neutral,0.0
2026-06-16 16:37 ET,WYFI,sold 28 of holdings at 36.49 held from 12126 good for 96 gains. will let the rest ride,None,neutral,0.8548
2026-06-16 16:37 ET,ABCB,nice breakout in this bank stock,Bullish,bullish,0.8447
2026-06-16 16:37 ET,ABCB,price 83.50 -1.34 trend bullish market bias 7d bullish bias expected range 0.20 rsi 52.6 momentum moderate volume -85.7 vs avg volatility 1.24 support 81.94 resistance 87.99 data and analytics sourced from given analytics educational research h,None,neutral,0.9168
2026-06-16 16:37 ET,ABCB,"dilution ameris bancorp files mixed securities shelf offering babcock amp wilcox enterprises files for 11,657,221 share common stock offering by selling stockholders biodesix files for 375,000 share common stock offering by selling stockholders galaxy",None,neutral,0.9349
2026-06-16 16:37 ET,ABCB,fundamental analysis of ameris bancorp based on financial data and reported results. abcb ameris,None,neutral,0.9463
2026-06-16 16:37 ET,ABCB,"share price 85.06 contract selected oct 16, 2026 85 calls buy zone 4.76 5.88 target zone 7.56 9.24 potential upside 50 roi time to expiration 171 days updates via",None,neutral,0.9303
2026-06-16 16:37 ET,ABCB,q1 3926 earnings results amp recap reported gaap eps of 1.64 up 28.12 yoy reported revenue of 314.36m up 9.97 yoy,None,bullish,0.933
2026-06-16 16:37 ET,ABCB,"share price 75.16 contract selected oct 16, 2026 45 calls buy zone 24.33 30.05 target zone 44.14 53.95 potential upside 71 roi time to expiration 205 days updates via",None,neutral,0.9165
2026-06-16 16:37 ET,ABCB,"share price 83.72 contract selected jul 17, 2026 85 calls buy zone 2.98 3.68 target zone 5.40 6.60 potential upside 71 roi time to expiration 145 days updates via",None,neutral,0.9268
2026-06-16 16:37 ET,ABCB,"share price 84.80 contract selected jul 17, 2026 85 calls buy zone 3.48 4.30 target zone 5.79 7.07 potential upside 57 roi time to expiration 156 days updates via",None,neutral,0.9156
2026-06-16 16:37 ET,ABCB,q4 3925 earnings results amp recap reported gaap eps of 1.59 up 16.06 yoy reported revenue of 307.13m up 5.62 yoy,None,bullish,0.9423
2026-06-16 16:42 ET,WDC,news?,None,neutral,0.0
2026-06-16 16:42 ET,WDC,solid.,Bullish,neutral,0.621
2026-06-16 16:42 ET,WDC,,Bullish,neutral,0.0
2026-06-16 16:42 ET,WDC,this stock never failed me as well! this stock will be a legendary stock soon! you will see !,Bullish,neutral,0.7806
2026-06-16 16:42 ET,WDC,,None,neutral,0.0
2026-06-16 16:42 ET,WDC,wtf are you waiting for...its time to buy in dummies... gl!,None,neutral,0.9199
2026-06-16 16:42 ET,WDC,quite near the most bullish analyst pt,None,neutral,0.7667
2026-06-16 16:42 ET,WDC,"fwd pe 10, 20 and is at 30. i believe micron will double over remainder of year. the other two will go up 50 but micron is way undervalued. look for them to be the clear winner in the 2nd half of 2026.",Bullish,bullish,0.8965
2026-06-16 16:42 ET,WDC,"easy short here guys, has reached peak!",Bearish,bullish,0.7773
2026-06-16 16:42 ET,WDC,"why wdc, mu, stx, sndk stocks rallied hard today and lifted dram to solid breakout",None,bullish,0.946
2026-06-16 16:42 ET,WYFI,"today. boom! testing 200sma. long in the options room. best trade today was hitting target, among the 2 rooms. was 2.",None,neutral,0.7596
2026-06-16 16:48 ET,MGNI,huh? my eyes deceiving me??,None,neutral,0.6243
2026-06-16 16:48 ET,RXT,"ran from 22.29 to 26.50 and holding 25 here, with volume it can get 28 to 30 rs in effect june 17 so it could squeeze, be up early see if 6 holds for a move to 6.50 and 8 we want 1.15 to hold for a move to 1.50 and 2 if 3 can hold maybe we get 3",None,neutral,0.8271
2026-06-16 16:48 ET,RXT,everytime i go fishing this goes green,Bullish,neutral,0.904
2026-06-16 16:48 ET,WDC,"dont chase any memory stocks right now, you might wake up to a 25-50 haircut once a bad news day hits any day",Bearish,neutral,0.6306
2026-06-16 16:48 ET,WDC,"- tokyo electron ltd. posted below is the weekly chart. memory stocks worldwide reaching for the sky. in the us , amp have been doing the same.",None,neutral,0.8987
2026-06-16 16:48 ET,WDC,,Bullish,neutral,0.0
2026-06-16 16:48 ET,WDC,"the forgotten baby in the memory. finally 10x. expected cool off, or a major contract. all this ai content, tokens and generation needs to be stored somewhere. we will see another double from here.",None,neutral,0.8638
2026-06-16 16:48 ET,WDC,love this memory stock. not as followed as much but it can. move. i see it going to 1000 plus,Bullish,neutral,0.8787
2026-06-16 16:48 ET,WDC,wow - just wow. might have to roll my short calls,Bullish,neutral,0.643
2026-06-16 16:48 ET,WDC,"retraced well till golden ratio and took the support of tl, likely to visit till 750815 by next week.",Bullish,bullish,0.881
2026-06-16 16:48 ET,WDC,"all i do is keep buying, still sleeping soundly at night",Bullish,neutral,0.8796
2026-06-16 16:48 ET,WDC,nice call here bro,Bullish,neutral,0.6187
2026-06-16 16:48 ET,WDC,im buying u guys think im late ? i may hold long term 3-4 yrs,None,neutral,0.8639
2026-06-16 16:48 ET,WYFI,good say. bought this morning and on track for 50 next month,None,bullish,0.7544
2026-06-17 10:25 ET,ARQQ,momentum hedge funds and algos are going to jump in which brings in the volume and volatility halts upwards,Bullish,neutral,0.5928
2026-06-17 10:25 ET,ARQQ,quantum security next big mover,Bullish,neutral,0.9132
2026-06-17 10:25 ET,ARQQ,"24k shares left only, shorts are in trouble.. has same mechanics structure as and much lower float, much more to come imho this is just a warmup",None,bearish,0.6148
2026-06-17 10:25 ET,ARQQ,"running hot, up 17.4 and no read on what39s driving it yet. these vertical moves can stall once the early buyers start trimming. what level are you guys watching here? this is what my scanner flagged",None,neutral,0.8659
2026-06-17 10:25 ET,ARQQ,once this breaks 30 sky is the limit form there!,None,neutral,0.8581
2026-06-17 10:25 ET,ARQQ,looking for 30 by tomorrow,None,neutral,0.9323
2026-06-17 10:25 ET,ARQQ,200,Bullish,neutral,0.0
2026-06-17 10:25 ET,ARQQ,shorts have about 1.7m shares need to be bought back on this 6m float in quantum.. 400m valuation only as apposed to 20 billion with,Bullish,neutral,0.9376
2026-06-17 10:25 ET,ARQQ,calls up 10x from entering congrats,Bullish,bullish,0.8596
2026-06-17 10:25 ET,ARQQ,,Bullish,neutral,0.0
2026-06-17 10:25 ET,BHVN,"up nearly 10 and still grinding through session highs. no read on the driver yet, tape just keeps absorbing the offers. watching this one closely. live tape on the breakout",None,neutral,0.8444
2026-06-17 10:25 ET,BHVN,nice sympathy move on news prospects for sca resubmission,None,neutral,0.6019
2026-06-17 10:25 ET,BHVN,"biohavens sca drug biohaven compared its clinical trial patients against external real-world databases, specifically the european eurosca study and the us crc-sca database. uniqures amt-130 uniqure compared its phase iii huntington39s patients against a historical n",None,neutral,0.5583
2026-06-17 10:25 ET,BHVN,"the data uniqure used was historical data, and the core methodological problem is identical to the one that caused biohaven39s spinocerebellar ataxia sca drug, vyglxia troriluzole, to receive an fda complete response letter crl. this means that perhaps fda might co",None,neutral,0.4922
2026-06-17 10:25 ET,BHVN,- nice sympathy move on news prospects for sca resubmission with another year or two of follow-up,None,bullish,0.8109
2026-06-17 10:25 ET,BHVN,mms got caught. theres no big or ask on those options itm.,Bullish,neutral,0.9047
2026-06-17 10:25 ET,BHVN,noce news. crazy it isnt at 40 yet.,Bullish,neutral,0.8305
2026-06-17 10:25 ET,BHVN,so qure is up 60 on fda revisit. this is running up to the inevitable resubmission.,None,neutral,0.5725
2026-06-17 10:25 ET,BHVN,someone is cover,Bullish,neutral,0.8362
2026-06-17 10:25 ET,BHVN,why the premarket buzz?,None,neutral,0.8786
2026-06-17 10:25 ET,BTGO,"remember once seller sold at this low price, those shares purchased by buyback will be put away on shelf by the company. this is a slow drainage of available low cost shares pool. majority ipo shares cost 18 and they wont sell at 6 if they didnt sell at 4.xx. expect th",None,neutral,0.7141
2026-06-17 10:25 ET,BTGO,"this stock will be back to 10 in no time!! why is it not trending? you are being weak spreading the world, less than 1k watchers this is the early stage, 10 next, then all the way up to 25, and finally price discovery above that value!!",Bullish,neutral,0.7098
2026-06-17 10:25 ET,BTGO,"nice news, added",Bullish,neutral,0.8367
2026-06-17 10:25 ET,BTGO,10 today,Bullish,neutral,0.8955
2026-06-17 10:25 ET,BTGO,volume 0.5 million they will buy 10.000.000 shares lolol rip,Bullish,neutral,0.9428
2026-06-17 10:25 ET,BTGO,short squeeze?,Bullish,neutral,0.6803
2026-06-17 10:25 ET,BTGO,,Bullish,neutral,0.0
2026-06-17 10:25 ET,BTGO,,Bullish,neutral,0.0
2026-06-17 10:25 ET,BTGO,will fly to 10 today,Bullish,neutral,0.9388
2026-06-17 10:25 ET,BTGO,boom,Bullish,neutral,0.0
2026-06-17 10:25 ET,CPNG,,None,neutral,0.0
2026-06-17 10:25 ET,CPNG,you can see a re rating is in process with how much this jumps at open daily,Bullish,neutral,0.8773
2026-06-17 10:25 ET,CPNG,pumped up kicks,Bullish,neutral,0.7116
2026-06-17 10:25 ET,CPNG,... yes.,None,neutral,0.8211
2026-06-17 10:25 ET,CPNG,myyy precioussss,Bullish,neutral,0.886
2026-06-17 10:25 ET,CPNG,this is headed to 20s,Bullish,neutral,0.849
2026-06-17 10:25 ET,CPNG,i told you this thing is going back over 20,Bullish,neutral,0.8997
2026-06-17 10:25 ET,CPNG,,Bullish,neutral,0.0
2026-06-17 10:25 ET,CPNG,where all this money will be spent? on coupang. all the businesses want piece from this spending will give ads to coupang. i am sooo bullish for next earnings.,Bullish,neutral,0.8859
2026-06-17 10:25 ET,CPNG,"steady grind all day to 32, we want 31.25 to hold now for 33 to 35 got 1.58, see if 1.50 holds for a move to 2 ran to 10.98, now we want 10 to hold for a break of 11 for 12 hit 18 strong day, we could see a dip to 17.50 but break of 18 for 20 gr",None,mixed,0.4922
2026-06-17 10:25 ET,EOSE,nothing better than a strong all american co. in nj.,Bullish,bullish,0.9192
